name,year,Overall Index,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,InequalityRate
Austria,2018,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90,70,4
Belgium,2018,67.5,81.2,70.9,69.5,44,12.1,67.9,80.6,59.5,82.6,86.9,85,70,3.78
Bulgaria,2018,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70,60,7.66
Croatia,2018,61,65.9,40.5,56.5,66,32.5,67.2,58.9,43,79.1,87.4,75,60,5
Cyprus,2018,67.8,71.2,41.3,56.7,75.2,52.9,79.3,77,55.7,83,86.9,75,60,4.29
Denmark,2018,76.6,84.8,84.1,83.6,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90,80,4.11
Estonia,2018,78.8,80.4,75.7,83.9,80.7,52.6,99.8,75.6,54.8,85.1,86.9,90,80,5.07
Finland,2018,74.1,89,89.8,82.7,66.5,2.3,81.1,89.9,50.5,86,86.9,85,80,3.6
France,2018,63.9,84,65.1,72.7,47.3,2.7,60.8,80.2,45,81.6,81.9,75,70,4.325
Germany,2018,74.2,81,75.3,78,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80,70,5.07
Greece,2018,57.3,52.3,37.9,59,60.4,20.9,70.5,74.4,54.4,81,81.9,55,40,5.51
Iceland,2018,77,86.7,77.3,72.6,72.1,44.2,94.3,89.5,61.8,81.7,88.5,85,70,3.275
Ireland,2018,80.4,87.7,79,79,76.1,69.6,80.8,81.8,76.4,87.4,86.9,90,70,4.6
Italy,2018,62.5,71.2,40.1,60.9,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85,50,6.09
Latvia,2018,73.6,68.3,45.4,58.9,84,59,95.3,80.1,72.5,87.3,86.9,85,60,6.8
Lithuania,2018,75.3,73.8,50.9,66.7,86.4,63.9,96.7,73.4,64.5,89.9,86.9,80,70,7.09
Luxembourg,2018,76.4,82.7,79,77.9,65.1,48.5,99,69.2,46.2,87.6,86.9,95,80,4.675
Malta,2018,68.5,68.1,49.9,62.8,64.7,51,90,64,61.1,78.8,86.9,85,60,4.28
Netherlands,2018,76.2,87.9,86,74.1,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90,80,3.99
Norway,2018,74.3,86.4,93.6,86,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75,60,3.71
Poland,2018,68.5,61.8,50.9,56.6,75.9,47.8,81.5,67.2,63.9,85,86.9,75,70,4.25
Portugal,2018,63.4,69.2,56.8,70.1,59.8,29.8,46,83.2,44.1,85.3,86.9,70,60,5.22
Romania,2018,69.4,61,40,59.7,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75,50,7.2
Slovakia,2018,65.3,68.2,38.2,38.8,78.9,44.3,84.9,63.9,54,81,86.9,75,70,3.625
Slovenia,2018,64.8,76.6,52.1,57.7,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70,50,3.4
Spain,2018,65.1,73.1,51.5,62,62,42.8,36.1,66.3,59,86.7,86.9,85,70,6.03
Sweden,2018,76.3,92.6,92.9,88.2,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85,80,4.13
Switzerland,2018,81.7,84.2,82.8,82.1,70.5,65.4,95.9,75.7,73.9,85.2,90,85,90,4.475
Turkey,2018,65.4,54.7,42,54.5,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75,60,8.55
United Kingdom,2018,78,92.2,79,93.8,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90,80,5.2
Austria,2017,72.3,86,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87,90,70,4.3
Belgium,2017,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82,61.1,84.9,87,85,70,3.8
Bulgaria,2017,67.9,62.5,41.8,38.9,91,58.4,86.4,66.7,68.3,83.3,87,70,60,8.2
Croatia,2017,59.4,65.5,43.4,56.8,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75,60,5
Cyprus,2017,67.9,75.4,53.6,60.7,73,48.8,72.9,75.8,58.6,83.3,87,75,50,4.6
Denmark,2017,75.1,86.7,84.9,68.5,37.2,5.7,95.4,93.9,85.8,85.5,87,90,80,4.1
Estonia,2017,79.1,82.6,69.9,82.8,81.2,55.8,99.8,77,56.9,85.7,87,90,80,5.4
Finland,2017,74,90.6,90,82.7,66.6,0,77.3,90.2,53.4,85.1,87,85,80,3.5
France,2017,63.3,85,69.7,72.7,47.6,2,57,78,44.1,81.6,82,70,70,4.4
Germany,2017,73.8,82.9,77.7,79.5,61.9,41.4,89.9,86.6,42.8,85.9,87,80,70,4.5
Greece,2017,55,52.5,41.3,56.1,61.1,5.4,58.1,74.3,51,78.2,82,60,40,6.1
Iceland,2017,74.4,85,71.5,71.5,70.9,41.1,90.6,90.2,62.6,81.2,88,80,60,3.3
Ireland,2017,76.7,85.8,78.3,78.3,72.7,57.1,60.3,80.3,73.6,87.6,87,90,70,4.6
Italy,2017,62.5,74.6,44.7,55.4,54.9,22.3,66.9,69.8,52.9,86.9,87,85,50,5.9
Latvia,2017,74.8,72.6,67.3,59.7,84.7,57.4,95,79.8,72,86.5,87,75,60,6.3
Lithuania,2017,75.8,73,69.7,62.4,86.9,64.1,93.6,79.1,63.6,90,87,70,70,7.3
Luxembourg,2017,75.9,85.8,78.3,77,64.5,46,99,68.6,43.8,86.2,87,95,80,5
Malta,2017,67.7,67.7,53.6,62.9,62.8,44.9,85.1,62.5,57.2,83.5,87,85,60,4.2
Netherlands,2017,75.8,87.4,85.7,69.9,53.2,37,83,80.2,70.5,85.8,87,90,80,4
Norway,2017,74,86.7,88.3,83.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75,60,3.9
Poland,2017,68.3,60.8,55.5,58,76,46.9,76.1,67.8,61.5,84.7,87,75,70,4.6
Portugal,2017,62.6,73.3,59,68.9,59.8,25.1,32.1,86.4,43.4,85.9,87,70,60,5.7
Romania,2017,69.7,63.9,45.9,58.5,87.4,65.3,90.9,65.9,62.5,83.6,87,75,50,6.5
Slovakia,2017,65.7,69,39.6,38,79.7,47.2,82.9,64.9,54.4,81.1,87,75,70,3.5
Slovenia,2017,59.2,75,53.6,55.1,58.7,28.6,6.1,80.6,60.2,85.3,87,70,50,3.4
Spain,2017,63.6,71.2,57.2,53.9,62.5,41.4,26.9,66.9,55.3,85.5,87,85,70,6.6
Sweden,2017,74.9,88.6,87.4,82.2,44.4,21.7,93.4,90.8,53.2,85.3,87,85,80,4.3
Switzerland,2017,81.5,86.9,80.3,77.6,70.9,67.5,95.8,76.8,72.2,84.4,90,85,90,4.6
Turkey,2017,65.2,61.3,40.7,52.5,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75,60,8.7
United Kingdom,2017,76.4,93.8,78.3,93,65.1,41.9,40.4,89.9,72.8,85,87,90,80,5.4
Austria,2016,71.7,90,72,78,50.7,22.4,82.1,79.4,72.5,81.7,88,90,70,4.1
Belgium,2016,68.4,80,76,66.8,44.2,11,69.2,85.4,60.5,84,88,85,70,3.8
Bulgaria,2016,65.9,30,43,41.1,91.1,60.4,93.1666666666667,66.9,71.6,82.6,88,65,60,7.7
Croatia,2016,59.1,35,48,52.0666666666667,70.8,33.7,65.7666666666667,60.3,42.4,78.7,87.4,75,60,5
Cyprus,2016,68.7,70,63,55.1666666666667,76.1,47.3,77.5,74.5,58.2,85.3,88,75,50,4.9
Denmark,2016,75.3,95,92,76.6333333333333,39.5,2.3,96.2666666666667,95.4,86,84.4,88,90,80,4.1
Estonia,2016,77.2,90,69,80.9,81.9,54.9,99.8,79,57.2,82.2,88,90,80,5.6
Finland,2016,72.6,90,89,82.2,66.5,0.8,81.6,90.7,53.7,81.9,88,85,80,3.6
France,2016,62.3,80,69,70.5,47.7,2.5,60.9,78.4,43.5,79.1,83,70,70,4.3
Germany,2016,74.4,90,79,77.6333333333333,61.5,41.3,90.8333333333333,90,50.6,83.3,88,90,70,4.6
Greece,2016,53.2,40,43,54.8666666666667,64.4,0,69.2,73.8,50.2,77.7,83,60,40,6.6
Iceland,2016,73.3,90,79,69.3,73.3,42.1,93.8666666666667,90.1,61.6,79.5,87.8,70,60,3.3
Ireland,2016,77.3,90,74,75.2333333333333,73.6,50.3,76.7,79.6,72.1,85.5,88,90,70,4.4
Italy,2016,61.2,50,43,55.3666666666667,55.8,22.1,68.8,70.3,53,84.5,88,85,60,6.3
Latvia,2016,70.4,50,55,55.6666666666667,84.8,58.4,95.7333333333333,78.6,59.5,84.8,88,85,60,6.2
Lithuania,2016,75.2,65,58,63.4333333333333,92.9,63.8,95.8666666666667,80,60,84.6,88,80,80,7.1
Luxembourg,2016,73.9,90,82,75.7666666666667,61.1,43,98.9666666666667,73.7,42.6,83.2,88,95,80,5
Malta,2016,66.7,70,55,58.7,63.9,46.5,89.8666666666667,61.6,53.5,83.5,88,85,60,4.2
Netherlands,2016,74.6,90,83,72.9,52.7,34.4,88.1666666666667,80,64,83.4,88,90,80,3.9
Norway,2016,70.8,90,86,83.5,53.2,41.8,97.8333333333333,89.6,48.5,76.2,87.8,75,60,3.7
Poland,2016,69.3,65,61,52.8666666666667,75.5,46.5,81.3333333333333,68.7,58,85.2,88,75,70,4.8
Portugal,2016,65.1,70,63,67.7666666666667,60.5,24.8,49.3,85.3,43.5,85.7,88,70,60,5.9
Romania,2016,65.6,35,43,56.7,87.5,65.6,90.4333333333333,66.1,65.1,81.1,88,75,50,7.2
Slovakia,2016,66.6,50,50,38,80.1,49.5,85,68.4,55,79.5,88,75,70,3.6
Slovenia,2016,60.6,60,58,53.1,58.6,0,51.6666666666667,82,55.4,84.3,88,70,50,3.6
Spain,2016,68.5,70,60,55.7666666666667,58.3,41.1,38.0333333333333,76,51.7,84.7,88,85,70,6.6
Sweden,2016,72,90,87,84.8,44.4,14.9,95.3666666666667,89.7,53.5,87.1,88,85,80,4.3
Switzerland,2016,81,90,86,80.5666666666667,70.9,66.3,96,82.2,72.1,87.8,90,85,80,4.4
Turkey,2016,62.1,40,45,52.2666666666667,75.2,55.6,93.8333333333333,65.4,48.6,71.5,84.4,75,60,8.6
United Kingdom,2016,76.4,90,78,90.9,64.9,39,54.1666666666667,86,71.8,76.4,88,90,80,5.1
Austria,2015,71.2,90,69,78,50.1,19.8,82.1,78,76.7,80.3,88,90,70,4
Belgium,2015,68.8,80,75,66.8,43.6,10.2,69.2,90.7,63.7,81.7,88,85,70,3.8
Bulgaria,2015,66.8,30,41,41.1,91,64.5,93.1666666666667,68.5,76.6,83.2,88,65,60,7.1
Croatia,2015,61.5,40,48,52.0666666666667,74.9,46.5,65.7666666666667,55.8,42.8,80,87.2,80,60,5.2
Cyprus,2015,67.9,70,63,55.1666666666667,79.5,36.7,77.5,79.5,59.6,82.7,88,70,50,5.2
Denmark,2015,76.3,95,91,76.6333333333333,39.6,1.8,96.2666666666667,97.4,92.1,87.6,88,90,80,4.1
Estonia,2015,76.8,90,68,80.9,80.6,53.2,99.8,81.5,58.7,77.6,88,90,80,6.2
Finland,2015,73.4,90,89,82.2,66.4,3.6,81.6,92.6,54.8,79.9,88,90,80,3.6
France,2015,62.5,80,71,70.5,47.5,2.5,60.9,80.2,43.5,77.5,83,70,70,4.3
Germany,2015,73.8,90,78,77.6333333333333,60.8,40.1,90.8333333333333,88.2,51.2,81.5,88,90,70,4.8
Greece,2015,54,40,40,54.8666666666667,64.2,0,69.2,73.3,51.6,77.8,83,60,50,6.5
Iceland,2015,72,90,78,69.3,72,32.6,93.8666666666667,90.5,62.2,77,88,70,60,3.4
Ireland,2015,76.6,85,72,75.2333333333333,73.6,45.6,76.7,82.1,76.2,83.9,88,90,70,4.5
Italy,2015,61.7,55,43,55.3666666666667,54.2,23.2,68.8,71.9,55.4,81.2,88,85,60,5.8
Latvia,2015,69.7,50,53,55.6666666666667,84.4,59.2,95.7333333333333,82.1,61.5,83.8,88,85,50,6.5
Lithuania,2015,74.7,60,57,63.4333333333333,92.9,61.3,95.8666666666667,84.9,62,81.2,88,80,80,7.5
Luxembourg,2015,73.2,90,80,75.7666666666667,62.3,42.2,98.9666666666667,71.3,42.1,80.7,88,95,80,4.3
Malta,2015,66.5,75,56,58.7,63.1,44.4,89.8666666666667,61,55.6,81.8,88,80,60,4.1
Netherlands,2015,73.7,90,83,72.9,51.8,23.8,88.1666666666667,84.3,66.3,79.8,88,90,80,3.8
Norway,2015,71.8,90,86,83.5,52.1,43.8,97.8333333333333,92.1,48.2,81.7,89.4,75,60,3.5
Poland,2015,68.6,60,60,52.8666666666667,82.1,47.1,81.3333333333333,67.3,60.4,81.3,88,70,70,4.9
Portugal,2015,65.3,70,62,67.7666666666667,61.1,28.8,49.3,87.5,42.9,82.8,88,70,60,6
Romania,2015,66.6,40,43,56.7,86.9,62.3,90.4333333333333,69.8,68.6,77.3,88,80,50,8.3
Slovakia,2015,67.2,50,47,38,80.8,55.1,85,69.6,56.5,75.5,88,80,70,3.5
Slovenia,2015,60.3,60,57,53.1,58.1,0,51.6666666666667,81.2,57.1,81.3,88,70,50,3.6
Spain,2015,67.6,70,59,55.7666666666667,53.1,39.8,38.0333333333333,77.5,52.6,81.3,88,85,70,6.9
Sweden,2015,72.7,90,89,84.8,43,19.2,95.3666666666667,87.9,54,85.5,88,90,80,4.1
Switzerland,2015,80.5,90,85,80.5666666666667,70.3,65.1,96,78.1,75.3,86.3,90,85,80,4.5
Turkey,2015,63.2,45,50,52.2666666666667,76.1,57.6,93.8333333333333,61,50.2,72.4,84.6,75,60,8.6
United Kingdom,2015,75.8,90,76,90.9,62.9,30.3,54.1666666666667,91.1,75.6,74.4,88,90,80,5.2
Austria,2014,72.4,90,75.5,78,51,23.5,82.1,76.3,80.5,79.5,87.8,90,70,4.1
Belgium,2014,69.9,80,74.2,66.8,44.8,14.8,69.2,89.9,72.7,79.5,87.8,85,70,3.8
Bulgaria,2014,65.7,30,35.2,41.1,91.2,64.5,93.1666666666667,73.5,80.2,79.6,87.8,55,60,6.8
Croatia,2014,60.4,40,41.1,52.0666666666667,69.4,45.8,65.7666666666667,61.4,39.4,79.2,87.4,80,60,5.1
Cyprus,2014,67.6,70,64,55.1666666666667,79.7,36.2,77.5,79.7,70.2,78.8,82.8,65,50,5.4
Denmark,2014,76.1,90,93.7,76.6333333333333,39.3,0.5,96.2666666666667,98.1,91.2,80,87.8,90,90,4.1
Estonia,2014,75.9,90,64.2,80.9,80.4,56,99.8,77.6,55.9,76.9,87.8,90,80,6.5
Finland,2014,73.4,90,93.4,82.2,65.1,8.9,81.6,93.6,46.5,78.9,87.8,90,80,3.6
France,2014,63.5,80,69.9,70.5,48.4,5.6,60.9,79.9,51.8,76.1,82.8,70,70,4.3
Germany,2014,73.4,90,80.1,77.6333333333333,61.2,38.2,90.8333333333333,89.9,46.4,80.8,87.8,90,70,5.1
Greece,2014,55.7,40,33.2,54.8666666666667,65.9,19.2,69.2,75.8,53.9,76.3,82.8,60,50,6.5
Iceland,2014,72.4,90,84.2,69.3,72.9,32.9,93.8666666666667,91.2,59.1,76,87.9,70,60,3.1
Ireland,2014,76.2,90,74.8,75.2333333333333,74,30.6,76.7,83.4,79.5,81.7,87.8,90,70,4.9
Italy,2014,60.9,50,38.5,55.3666666666667,55.5,25.6,68.8,75.5,52.5,78.9,87.8,85,60,5.8
Latvia,2014,68.7,50,43.6,55.6666666666667,84.6,54.9,95.7333333333333,82.5,68.5,79.7,87.8,85,50,6.5
Lithuania,2014,73,60,49.9,63.4333333333333,92.9,55.9,95.8666666666667,85.7,59,78.6,87.8,80,80,6.1
Luxembourg,2014,74.2,90,84.1,75.7666666666667,62.8,47.6,98.9666666666667,72.6,43.1,78.9,87.8,95,80,4.4
Malta,2014,66.4,75,55.8,58.7,63.7,47.2,89.8666666666667,62.4,53.2,79.1,87.8,80,60,4
Netherlands,2014,74.2,90,88,72.9,51.7,25.6,88.1666666666667,89.7,59.6,79.9,87.8,90,80,3.8
Norway,2014,70.9,90,88.1,83.5,50.6,42.2,97.8333333333333,90.9,44.6,78.7,89.1,75,60,3.4
Poland,2014,67,60,54.8,52.8666666666667,76.1,43.2,81.3333333333333,70.1,60.4,77.8,87.8,70,70,4.9
Portugal,2014,63.5,70,61.1,67.7666666666667,60.1,26.8,49.3,84.9,34.6,79.3,87.8,70,60,6.2
Romania,2014,65.5,40,37.7,56.7,87,59.2,90.4333333333333,71,65.2,77.1,87.8,80,50,7.2
Slovakia,2014,66.4,50,41.8,38,80.2,56,85,67,53.6,78.1,87.8,80,70,3.9
Slovenia,2014,62.7,60,61,53.1,58.9,22.6,51.6666666666667,85.4,51,80.3,87.8,70,50,3.7
Spain,2014,67.2,70,62.6,55.7666666666667,54,38.7,38.0333333333333,77.3,52.2,79.9,87.8,80,70,6.8
Sweden,2014,73.1,90,92.3,84.8,42.9,21.4,95.3666666666667,91.1,52.9,82.5,87.8,90,80,4.2
Switzerland,2014,81.6,90,88.1,80.5666666666667,68.9,65.7,96,75.4,87.4,85.2,90,85,80,4.4
Turkey,2014,64.9,50,44,52.2666666666667,77.5,63.5,93.8333333333333,67.6,59.7,71.8,84.5,70,60,8.3
United Kingdom,2014,74.9,90,76.4,90.9,56.6,29.5,54.1666666666667,92,73.1,73.5,87.8,90,80,5.1
Austria,2013,71.8,90,78,78,51.1,23.5,82.1,73.6,80.4,79.3,86.8,85,70,4.1
Belgium,2013,69.2,80,75,66.8,45,14.5,69.2,91.6,69.8,79.3,86.8,80,70,3.8
Bulgaria,2013,65,30,33,41.1,94,64.2,93.1666666666667,73.6,74.8,78.6,86.8,55,60,6.6
Croatia,2013,61.3,40,40,52.0666666666667,75.4,48.7,65.7666666666667,63,42.4,81.1,87.5,75,60,5.3
Cyprus,2013,69,70,63,55.1666666666667,79.8,32.7,77.5,80.7,62.8,84.1,81.8,75,60,4.9
Denmark,2013,76.1,90,94,76.6333333333333,39.8,5.9,96.2666666666667,98.4,91.1,80,86.8,85,90,4
Estonia,2013,75.3,85,64,80.9,79.7,56.2,99.8,78.2,56,77.1,86.8,90,80,5.5
Finland,2013,74,90,94,82.2,66.9,12.2,81.6,94.8,45.3,79.5,86.8,90,80,3.6
France,2013,64.1,80,70,70.5,53,5.6,60.9,84,50.5,81.1,81.8,65,70,4.5
Germany,2013,72.8,90,80,77.6333333333333,61.8,37.3,90.8333333333333,92.1,43.8,81.2,86.8,85,70,4.6
Greece,2013,55.4,40,34,54.8666666666667,66.2,24.7,69.2,77.1,42.1,73.4,81.8,65,50,6.6
Iceland,2013,72.1,90,83,69.3,72.7,36.2,93.8666666666667,91.5,58.9,75.8,87.8,65,60,3.4
Ireland,2013,75.7,90,75,75.2333333333333,73.8,28.8,76.7,83.4,76.6,82.8,86.8,90,70,4.7
Italy,2013,60.6,50,39,55.3666666666667,55.5,25.3,68.8,76.9,52,80.2,86.8,80,60,5.8
Latvia,2013,66.5,50,42,55.6666666666667,84.4,53.6,95.7333333333333,75.7,64.4,78.3,86.8,80,50,6.3
Lithuania,2013,72.1,60,48,63.4333333333333,92.8,53.6,95.8666666666667,77.6,64.1,78.3,86.8,80,80,6.1
Luxembourg,2013,74.2,90,85,75.7666666666667,65,47.1,98.9666666666667,74.8,39,79.3,86.8,95,80,4.6
Malta,2013,67.5,75,56,58.7,61.2,44.1,89.8666666666667,61.1,65.4,80.4,86.8,85,60,4.1
Netherlands,2013,73.5,90,89,72.9,52.1,24.7,88.1666666666667,83,58.6,81.1,86.8,90,80,3.6
Norway,2013,70.5,90,90,83.5,51,40.3,97.8333333333333,92.6,44.7,76.9,89.3,70,60,3.3
Poland,2013,66,60,55,52.8666666666667,76,43,81.3333333333333,64,62.9,77.7,86.8,65,70,4.9
Portugal,2013,63.1,70,61,67.7666666666667,61.6,28.3,49.3,82.8,31,79.4,86.8,70,60,6
Romania,2013,65.1,40,36,56.7,87.9,62.2,90.4333333333333,70.4,63.5,74.7,86.8,80,50,6.8
Slovakia,2013,68.7,50,40,38,84.7,58,85,71,72.2,79.1,86.8,75,70,3.6
Slovenia,2013,61.7,60,59,53.1,65.7,22.3,51.6666666666667,80.7,40.4,81.6,86.8,70,50,3.6
Spain,2013,68,70,62,55.7666666666667,53.9,43,38.0333333333333,80.3,54.3,79.9,86.8,80,70,6.3
Sweden,2013,72.9,90,93,84.8,39.6,21,95.3666666666667,93.2,53.6,82.1,86.8,90,80,4
Switzerland,2013,81,90,88,80.5666666666667,68.1,63.8,96,75.8,87.9,86.2,90,80,80,4.2
Turkey,2013,62.9,50,42,52.2666666666667,77,64.9,93.8333333333333,68.2,43.1,73.3,85.2,65,60,8.7
United Kingdom,2013,74.8,90,78,90.9,57,27.7,54.1666666666667,94.1,71.6,72.4,86.8,90,80,4.6
Austria,2012,70.3,90,79,78,50.5,15.4,82.1,70.3,78.1,82.2,87.2,80,70,4.2
Belgium,2012,69,80,71,66.8,44.8,12.1,69.2,92.3,71.3,81.2,87.1,80,70,4
Bulgaria,2012,64.7,30,36,41.1,93.6,50.3,93.1666666666667,72.7,84.2,77.8,87.1,55,60,6.1
Croatia,2012,60.9,40,41,52.0666666666667,76.4,45,65.7666666666667,63.4,44.4,81.4,87.5,70,60,5.4
Cyprus,2012,71.8,70,63,55.1666666666667,83.3,37.1,77.5,81.6,69.9,85.7,82.1,75,70,4.7
Denmark,2012,76.2,90,93,76.6333333333333,39.8,0,96.2666666666667,99.1,92.1,80.7,87.1,90,90,3.9
Estonia,2012,73.2,80,65,80.9,79.1,38.8,99.8,75.7,56.9,79.3,87.1,90,80,5.4
Finland,2012,72.3,90,92,82.2,65.4,5.2,81.6,94.9,42.4,81.3,87.1,85,80,3.7
France,2012,63.2,80,68,70.5,53.8,5.3,60.9,83.7,51.6,82.3,82.1,55,70,4.5
Germany,2012,71,90,79,77.6333333333333,61.3,32.2,90.8333333333333,90.5,41.4,83.5,87.1,85,60,4.3
Greece,2012,55.4,50,35,54.8666666666667,65.3,16.2,69.2,76.3,36.6,72.6,82.1,60,60,6.6
Iceland,2012,70.9,90,85,69.3,73.5,21.8,93.8666666666667,92,60.9,72.5,88.2,65,60,3.4
Ireland,2012,76.9,90,80,75.2333333333333,73.9,30.4,76.7,92.8,78.4,76.7,87.1,90,70,4.8
Italy,2012,58.8,50,39,55.3666666666667,55,19.4,68.8,77.4,43,82,87.1,75,60,5.6
Latvia,2012,65.2,50,43,55.6666666666667,84.3,43.8,95.7333333333333,75.9,59.1,79.1,87.1,80,50,6.5
Lithuania,2012,71.5,60,50,63.4333333333333,93.6,41.7,95.8666666666667,79.2,64.6,79.3,87.1,80,80,5.3
Luxembourg,2012,74.5,90,85,75.7666666666667,63.6,46.6,98.9666666666667,75.9,40.9,81.3,87.1,95,80,4.1
